HIP,Name_r,Name,Bayer
92420,Шелиак,Sheliak,β Lyr A
92761,Аинальрами,Ainalrami,ν1 Sgr A
92782,Кума,Kuma,υ Dra
92855,Нунки,Nunki,σ Sgr A
92946,Алия,Alya,θ1 Ser A
93194,Сулафат,Sulafat,γ Lyr
93244,Денеб Эльокаб II,Deneb Elokab II,ε Aql
93506,Асцелла,Ascella,ζ Sgr A
93683,Манубрий,Manubriy,ο Sgr
93747,Окаб,Okab,ζ Aql A
93805,Аль Талимайн 2,Al Talimayn 2,λ Aql
94114,Меридиана,Meridiana,α CrA
94141,Альбальдах,Albaldah,π Sgr A
94376,Альтаис,Altais,δ Dra
94481,Альадфар,Aladfar,η Lyr A
94761,Звезда ван Бисбрука,Van Biesbrook's star,V1298 Aql B
95241,Аркаб Приор,Arkab Prior,β1 Sgr
95294,Аркаб Постериор,Arkab Posterior,β2 Sgr
95347,Рукбат,Rukbat,α Sgr
95501,Денеб Окаб,Deneb Okab,δ Aql
95771,Ансер,Anser,α Vul
95947,Альбирео,Albireo,β Cyg A
96100,Альсафи,Alsafi,σ Dra
96295,Звезда Кэмпбелла,Kempbell's star,- Cyg
96468,Аль Талимайн 1,Al Talimayn 1,ι Aql
96757,Шам,Sham,α Sge
97165,Фаварис,Fawaris,δ Cyg A
97278,Таразед,Tarazed,γ Aql
97433,Тиль,Til,ε Dra
97649,Альтаир,Altair,α Aql
97938,Либертас,Libertas,ξ Aql A
98036,Альшаин,Alshain,β Aql A
98066,Теребелл,Terebellum,ω Sgr A
98162,Теребеллум 1,Terebellum 1,59 Sgr
98412,Манубриум 2,Manubrium 2,θ1 Sgr
100027,Альджеди 1,Aljedi 1,α1 Cap
100064,Алгеди,Algedi,α2 Cap A
100310,Альшат,Alshat,ν Cap A
100345,Дабих,Dabih,β1 Cap A
100453,Садр,Sadr,γ Cyg A
100751,Пикок,Peacock,α Pav A
100881,Окул,Okul,π Cap
101027,Бос,Bos,ρ Cap
101243,Рукба Альджаджа,Rukba Aljaja,ω2 Cyg
101421,Альдулфин,Aldulfin,ε Del
101769,Ротанев,Rotanev,β Del A
101958,Суалоцин,Sualocin,α Del A
102098,Денеб,Deneb,α Cyg
102488,Дженах,Aljanah,ε Cyg A
102618,Альбали,Albali,ε Aqr
106786,Бунда,Bunda,ξ Aqr A
103527,Музыка,Musica,18 Del
104019,Арм,Arm,η Cap
104139,Дорс,Dors,θ Cap
104382,Южнополярная,Polaris Australis,σ Oct
104987,Китальфа,Kitalpha,α Equ A
105199,Альдерамин,Alderamin,α Cep
106032,Альфирк,Alfirk,β Cep A
106278,Садалсууд,Sadalsuud,β Aqr A
106723,Кастра,Kastra,ε Cap
106985,Нашира,Nashira,γ Cap A
107136,Азельфафага,Azelfafage,π1 Cyg
107259,Гранатовая,Pomegranate,μ Cep
107315,Эниф,Enif,ε Peg
107556,Денеб Алгеди,Deneb Algedi,δ Cap A
