HIP;HD;Fl;Bayer;Bayer_cst;Cst;Vmag;VarFlag;VarID;RAdeg;DEdeg;Plx;pmRA;pmDE;B-V;V-I;Period;HvarType;Ncomp;MultFlag;m_HIP;SpType;Teff;Name;Name_r
36616;59686;;;;Gem;5,45;;;112,95154548;+17,08622915;10,81;42,65;-75,39;1,126;1,02;;C;1;;;K2III;4689;;
36640;59984;;;;Mon;5,90;;;113,02423825;-08,88091851;33,40;-92,20;-167,52;0,540;0,69;;D;1;;;F5V;5941;;
36641;59881;7;del01;CMi;CMi;5,24;;;113,02479230;+01,91448227;4,14;-2,12;-0,56;0,230;0,26;;C;1;;;F0III;7541;;
36657;60312;;;;Pup;6,35;;;113,09283885;-35,96119858;4,41;-13,83;4,24;-0,096;-,08;;C;1;;;B8V;12466;;
36721;60345;;;;Pup;5,84;;;113,29074012;-24,71078019;10,66;-1,83;20,07;0,156;0,17;;;1;;;A3III;7960;;
36723;60111;8;del02;CMi;CMi;5,59;;;113,29864650;+03,29027472;23,44;-15,73;42,84;0,321;0,37;;C;1;;;F2V;7150;;
36728;60559;;;;Pup;6,27;1;V376Pup;113,30487698;-40,05853613;4,85;-15,99;5,72;-0,129;-,12;1,94;P;1;;;B8IV(pSi);13552;;
36732;60341;;;;Pup;5,64;;;113,33145749;-19,41235409;11,15;24,10;-70,23;1,121;1,01;;;1;;;K0III;4674;;
36736;60325;;;;Pup;6,21;;;113,34244701;-14,33830668;2,16;-3,50;-0,10;-0,061;-,04;;C;1;;;B2II;;;
36740;59826;;;;Lyn;6,40;;;113,35345342;+37,18788282;6,16;-0,55;5,87;1,231;1,19;;;1;;;K0;;;
36760;60107;68;;Gem;Gem;5,27;;;113,40207910;+15,82669239;8,69;-29,28;-12,62;0,055;0,07;;C;1;;;A1Vn;9204;;
36773;60414;;;;Pup;4,82;2;KQPup;113,44986614;-14,52390109;0,97;-7,73;3,62;1,362;1,37;;U;1;;;A4Ia;;;
36778;60606;;z;Pup;Pup;5,42;2;OWPup;113,46270622;-36,33840157;2,56;-8,59;4,11;-0,078;0,09;;U;1;;;B2Vne;18113;;
36779;59721;;;;Lyn;6,44;;;113,46469859;+51,31420147;3,73;-11,48;-22,56;1,348;1,31;;D;2;C;AB;K0;;;
36795;60532;;;;Pup;4,44;;;113,51335813;-22,29618077;38,91;-40,38;46,84;0,521;0,60;;C;1;;;F6V;6207;;
36796;60275;;;;CMi;6,28;;;113,52075734;+10,56811357;7,76;-30,67;-15,31;0,022;0,04;;C;1;;;A1V;;;
36807;60646;;;;Pup;6,11;;;113,55360344;-33,46358395;11,37;-55,92;63,25;0,297;0,34;;C;1;;;A9IV;7226;;
36812;60357;9;del03;CMi;CMi;5,83;;;113,56622524;+03,37173632;4,82;-3,19;-4,53;-0,018;0,00;;C;1;;;A0Vnn;10203;;
36817;60584;;n;Pup;Pup;5,06;;;113,57780754;-23,47366319;34,41;-88,67;0,97;0,468;0,54;;D;2;C;AB;F6V;6551;;
36848;60666;;;;Pup;5,78;;;113,64510631;-27,01244868;10,41;-46,86;71,46;1,045;0,96;;;1;;;K1III;4767;;
36850;60179;66;alf;Gem;Gem;1,58;;;113,65001898;+31,88863645;63,27;-206,33;-148,18;0,034;0,05;;D;2;C;AB;A2Vm;10069;Castor;Кастор
36856;61031;;;;Car;6,29;;;113,66493572;-51,47453780;2,45;-4,78;8,53;0,073;0,08;;C;1;;;A1III/IV;9352;;
36896;60318;;;;Gem;5,34;;;113,78673794;+30,96091010;10,78;-25,16;5,83;1,010;0,99;;D;2;C;AB;K0III;4895;;
36914;62153;;;;Vol;6,33;;;113,84025431;-74,27500789;3,40;-3,63;20,78;0,016;0,04;;D;2;C;AB;B9;11412;;
36917;60863;;p;Pup;Pup;4,65;;;113,84557180;-28,36927798;14,50;-66,90;-18,71;-0,111;-,12;;C;1;G;;B8V;13513;;
36942;61248;;Q;Car;Car;4,93;;;113,91541745;-52,53380809;8,28;23,44;-11,57;1,373;1,39;;;1;;;K3III;;;
36962;60522;69;ups;Gem;Gem;4,06;2;;113,98071783;+26,89600343;13,57;-39,58;-108,08;1,540;1,66;;U;1;G;;K5III;3953;;
36965;60335;;;;Lyn;6,37;2;CCLyn;113,98332747;+43,03108733;8,29;-26,13;-52,69;0,364;0,43;0,35;P;2;C;AB;F0;6950;;
36977;61394;;;;Car;6,39;;;114,00674600;-55,88773325;5,42;-14,56;10,37;1,182;1,15;;;1;;;K1/K2IIICN.;;;
36981;60855;;;;Pup;5,66;2;V378Pup;114,01623979;-14,49277322;1,97;-6,29;0,88;-0,067;-,10;;U;1;;;B2/3V(n);;;
36986;60951;;;;Pup;6,40;;;114,03092100;-22,16047711;4,72;-15,80;-11,47;0,968;0,92;;C;1;;;K1II;;;
37000;60853;;;;Mon;6,27;1;;114,06945503;-08,31131007;5,26;46,40;3,17;1,541;1,60;;U;1;;;K2;;;
37023;60437;;;;Lyn;5,66;;;114,13190951;+46,18036783;6,29;-28,39;-32,92;1,560;1,82;;;1;;;M0III;;;
37031;60803;;;;CMi;5,89;;;114,14487545;+05,86210427;22,92;-108,76;27,66;0,602;0,69;;C;1;;;G0V;5968;;
37036;61068;;;;Pup;5,69;1;PTPup;114,17099481;-19,70235325;1,92;-8,12;6,20;-0,165;-,12;;U;1;;;B2II;25982;;
37043;61391;;y02;Pup;Pup;5,69;;;114,18302388;-48,83016970;6,56;-7,55;0,87;-0,037;-,01;;C;1;;;B9V;10077;;
37046;60294;;;;Lyn;5,93;;;114,19602820;+55,75515475;11,63;-10,87;-39,00;1,123;1,09;;;1;;;K2III;4619;;
37088;61064;25;;Mon;Mon;5,14;1;;114,31971063;-04,11102250;16,11;-67,41;17,74;0,442;0,51;;M;1;;;F6III;6558;;
37089;61227;;;;Pup;6,34;;;114,32055484;-23,77541233;0,08;-5,45;5,48;0,540;0,68;;;1;;;F0Ib;7003;;
37091;60654;;;;Lyn;6,34;;;114,32418974;+40,02550216;5,10;-15,06;-48,99;1,600;1,83;;;1;;;M1;;;
37096;61330;;f;Pup;Pup;4,53;;;114,34216663;-34,96857044;9,10;-13,65;16,53;-0,081;-,08;;D;2;C;AC;B8IV/V;11782;;
37128;61453;;;;Pup;6,38;;;114,43762447;-38,01057175;5,76;-12,05;60,26;1,472;1,48;;C;1;;;K4III;;;
37140;60652;;;;Lyn;5,93;;;114,47449454;+48,77391150;12,44;-32,62;-28,48;0,221;0,16;;C;1;;;A5m;7975;;
37165;61035;;;;Gem;6,37;;;114,55984487;+24,36039278;21,27;10,84;19,90;0,337;0,39;;C;1;;;F0;7156;;
37173;61429;;m;Pup;Pup;4,69;1;PUPup;114,57519746;-25,36478805;5,92;-2,28;-6,70;-0,100;-,07;2,58;P;1;;;B8IV;12246;;
37174;61715;;y03;Pup;Pup;5,68;2;MYPup;114,57588221;-48,60144811;0,65;-4,18;5,13;0,683;0,74;5,69;P;1;;;F4Iab;6042;;
37202;61642;;;;Pup;6,20;;;114,63552537;-38,78140103;8,29;17,02;-35,32;1,015;0,99;;C;1;;;G8III;4868;;
37204;60986;70;;Gem;Gem;5,58;;;114,63681646;+35,04848403;10,65;37,26;27,28;0,921;0,92;;;1;;;K0III;5111;;
37223;61641;;e;Pup;Pup;5,78;;;114,68293452;-36,49684165;3,38;-6,84;4,84;-0,148;-,15;;C;1;;;B3III;;;
37229;61555;;kap01;Pup;Pup;3,80;2;;114,70783872;-26,80389240;7,18;-17,00;23,08;-0,159;-,15;;U;2;C;AB;B5IV;15996;;
37248;61966;;;;Car;6,06;;V390Car;114,75139782;-53,27337970;5,99;-17,58;9,42;-0,118;-,10;;C;1;;;B9IV-Vp...;12764;;
37265;61110;71;omi;Gem;Gem;4,89;;;114,79148501;+34,58463287;20,62;-35,97;-118,03;0,413;0,47;;C;1;;;F3III;6627;Jishui;Цзишуй
37269;61219;;;;Gem;6,18;;;114,80003143;+24,22252771;7,50;-2,26;0,18;0,028;0,04;;C;1;;;A2V;9311;;
37279;61421;10;alf;CMi;CMi;0,40;;;114,82724194;+05,22750767;285,93;-716,57;-1034,58;0,432;0,49;;;1;O;;F5IV-V;6581;Procyon;Процион
37289;61589;;;;Pup;6,40;;;114,85081931;-16,84725474;4,89;0,13;-15,29;1,470;1,48;;;1;;;K3III;;;
37293;61672;;;;Pup;6,50;;;114,86243597;-26,86309474;3,98;-3,96;-3,19;-0,094;-,08;;;1;;;B6V;12794;;
37297;61831;;d01;Pup;Pup;4,84;;;114,86397492;-38,30806020;5,68;-21,35;16,03;-0,189;-,17;;C;1;;;B3V;22480;;
37300;61338;74;f;Gem;Gem;5,04;1;;114,86912974;+17,67451551;6,13;2,26;1,34;1,616;1,72;;U;1;;;M0III;3845;;
37322;61878;;d02;Pup;Pup;5,73;;;114,93262285;-38,13932810;5,33;-22,54;16,90;-0,125;-,12;;D;2;C;AB;B5V;;;
37329;61899;;d03;Pup;Pup;5,76;;;114,94951052;-38,26067563;2,92;-10,37;9,71;-0,071;-,05;;C;1;;;B3III;;;
37339;61295;;;;Gem;6,16;;;114,97540702;+32,00982411;11,86;-15,06;-39,74;0,374;0,44;;C;1;;;F6II;6915;;
37345;61925;;d04;Pup;Pup;5,99;1;;114,99163231;-37,57941274;2,41;-1,41;-3,89;-0,040;0,05;;U;1;;;B4III;12531;;
37364;61774;;;;Pup;5,92;;;115,05638028;-19,66089028;4,53;-3,67;11,85;1,158;1,05;;C;1;;;K0III;4680;;
37369;61294;;;;Lyn;5,77;1;;115,06134304;+38,34456671;4,00;-40,19;-11,53;1,654;1,85;;U;1;;;M0III;;;
37375;61750;;;;Pup;6,43;;;115,08758062;-11,75251794;6,06;-8,32;-14,00;1,245;1,20;;C;1;G;;K2;;;
37379;61772;140;;Pup;Pup;4,98;;;115,09671685;-15,26385208;4,82;-2,27;-28,04;1,543;1,49;;;1;;;K3III;3953;;
37391;51802;;;;Cep;5,05;2;OVCep;115,12954787;+87,02015634;6,53;-53,48;-26,85;1,604;1,91;;U;1;;;M2III;;;
37394;61749;;;;Mon;6,01;;;115,14796501;-08,18535824;10,51;21,28;-29,37;0,153;0,17;;;1;;;A3IV;8084;;
37404;61630;;;;Gem;6,23;;;115,19660870;+13,77126983;3,15;-2,73;-7,88;1,393;1,26;;C;1;;;K0;;;
37406;61106;23;;Lyn;Lyn;6,09;;;115,20649105;+57,08287527;4,67;-24,11;-4,35;1,440;1,44;;;1;;;K5III;;;
37428;61603;;;;Gem;5,93;;;115,24384521;+23,01855829;2,14;-7,21;-13,04;1,561;1,54;;;1;;;K5;4012;;
37441;61363;;;;Lyn;5,58;;;115,30185616;+48,13185153;10,01;-52,69;-130,99;1,011;1,00;;C;1;;;K0III;4800;;
37447;61935;26;alf;Mon;Mon;3,94;;;115,31198612;-09,55108315;22,61;-74,80;-19,64;1,022;1,01;;C;1;;;K0III;4814;;
37450;62226;;;;Pup;5,41;1;;115,31595047;-38,53357185;5,28;-20,74;16,34;-0,130;-,12;;M;1;;;B3V;;;
37461;62318;;;;Pup;6,41;;;115,34051593;-44,63217873;2,86;-0,10;4,56;-0,003;0,02;;C;1;;;B7IV/V;10796;;
37465;62082;;;;Pup;6,16;2;;115,34802203;-22,33675243;3,79;3,95;12,85;1,644;2,11;;U;1;;;M0/M1III;;;
37478;61887;;;;CMi;5,95;;;115,39648613;+03,62482750;6,47;-2,20;-20,11;-0,032;-,01;;C;1;;;A0V;10117;;
37504;63295;;zet;Vol;Vol;3,93;1;;115,45498347;-72,60613528;24,36;33,38;15,29;1,033;1,02;;M;1;;;K0III;4786;;
37508;61885;;;;Gem;5,79;2;;115,46611813;+13,48051383;4,15;-35,61;-24,95;1,669;2,09;;U;1;;;M2III;;;
37521;61913;;;;Gem;5,55;2;NZGem;115,51341314;+14,20852972;3,19;-0,98;-10,81;1,642;2,36;;U;1;;;M3Sv;;;
37530;62758;;;;Car;6,40;;;115,54259877;-58,63093533;3,05;-5,40;7,03;-0,094;-,08;;;1;;;B2.5V;17167;;
37580;61859;;;;Gem;6,05;;;115,68169569;+34,00022479;18,31;-83,50;-2,81;0,469;0,54;;C;1;;;F7V;6661;;
37590;62412;;;;Pup;5,64;;;115,70064325;-26,35125398;9,79;-2,51;-29,55;0,990;0,91;;;1;;;K1III;4913;;
37599;62897;;;;Car;6,20;;;115,72235259;-58,23015202;5,18;-31,96;38,73;1,049;1,03;;;1;;;K0III;4762;;
37606;62644;;;;Pup;5,04;;;115,73817103;-45,17177284;41,43;-77,76;-553,41;0,765;0,80;;C;1;X;;G5IV;5277;;
37609;61497;24;;Lyn;Lyn;4,93;;;115,75190700;+58,71048707;13,75;-36,99;-52,11;0,104;0,17;;;1;;;A3IVn;8954;;
37614;62264;;;;CMi;6,17;;;115,77257360;+00,18936449;7,20;0,94;-12,89;1,047;1,02;;D;2;C;AC;K0III;;;
37623;62578;;;;Pup;5,60;;;115,79999230;-36,05012400;5,45;-21,14;14,17;-0,130;-,12;;C;1;;;B5V;15020;;
37629;62044;75;sig;Gem;Gem;4,23;2;sigGem;115,82785545;+28,88407170;26,68;61,84;-231,26;1,118;1,12;;U;1;;;K1IIISB;4516;;
37634;62286;;;;CMi;6,50;;;115,83835851;+04,94580067;5,07;-23,34;-16,04;1,356;1,32;;C;1;;;K0;;;
37636;62141;;;;Gem;6,25;;;115,84247968;+22,39943231;10,63;-22,55;16,32;0,930;0,84;;C;1;;;K0III;4954;;
37648;62576;1;;Pup;Pup;4,63;1;;115,88498187;-28,41095714;3,34;-13,62;29,79;1,632;1,76;;U;1;;;K5III;3996;;
37664;62713;;W;Pup;Pup;5,12;;;115,92428224;-40,93332961;15,13;131,14;-171,23;1,104;1,05;;C;1;;;K1III;4624;;
37666;62712;;;;Pup;6,42;;;115,92888042;-38,20191748;5,62;-21,41;15,59;-0,119;-,10;;;1;;;B8IV;13583;;
37677;62623;3;l;Pup;Pup;3,94;1;;115,95196716;-28,95483520;-0,37;-4,57;3,88;0,160;0,34;;M;1;;;A2Iab;;;
37701;61931;;;;Lyn;5,31;;;116,01744892;+50,43386115;4,73;-9,29;-27,78;-0,001;0,02;;D;2;C;AB;A0IIIn;;;
37704;62285;76;c;Gem;Gem;5,30;;;116,02884762;+25,78421056;5,48;-13,40;-21,21;1,535;1,54;;;1;;;K5III;;;
37705;62437;;;;CMi;6,46;2;AZCMi;116,03185066;+02,40544316;7,53;-18,14;-8,60;0,211;0,25;0,10;P;1;;;F0III;7625;;
37710;62781;;;;Pup;5,80;;;116,04059732;-36,06271326;22,99;-79,39;85,83;0,320;0,37;;C;1;;;F0IV;7074;;
37720;63584;;;;Vol;6,16;;;116,05456897;-69,82161624;8,09;-46,70;9,56;-0,032;-,01;;C;1;G;;A0IV/V;10300;;
37723;62407;;;;CMi;6,40;;;116,05860871;+12,86011602;3,72;-14,56;-18,44;1,392;1,23;;C;1;;;K0;;;
37740;62345;77;kap;Gem;Gem;3,57;;;116,11195237;+24,39812929;22,73;-22,45;-56,24;0,932;0,90;;C;1;;;G8III;4881;;
37751;62747;;;;Pup;5,62;2;V390Pup;116,14238612;-24,67409186;1,75;-4,27;5,23;-0,191;-,20;3,93;P;1;;;B2II;;;
37752;62893;;;;Pup;5,89;;;116,14249707;-37,94295545;5,36;-22,23;15,72;-0,115;-,10;;;1;;;B8V;12531;;
37773;63513;;;;Vol;6,37;;;116,18282329;-66,07204846;5,03;-15,97;47,43;0,949;0,94;;C;1;;;G6/G8III;;;
37819;63032;;c;Pup;Pup;3,62;1;;116,31376631;-37,96859848;2,35;-10,77;5,97;1,706;1,82;;U;1;;;K4III;;;
37823;63118;;;;Pup;6,02;;;116,32521067;-43,75255904;3,68;-9,37;-2,77;-0,069;-,05;;;1;;;B6IV;13203;;
37826;62509;78;bet;Gem;Gem;1,16;1;;116,33068263;+28,02631031;96,74;-625,69;-45,95;0,991;0,97;;M;1;;;K0IIIvar;4853;Pollux;Поллукс
37843;62864;2;;Pup;Pup;6,06;;;116,37142428;-14,69048507;9,09;-15,08;-21,41;0,110;0,12;;D;1;C;;A6/A7;;;
37853;63077;171;;Pup;Pup;5,36;;;116,39657467;-34,17655092;65,79;-220,83;1722,89;0,589;0,70;;C;1;G;;G0V;5726;;
37854;63382;;;;Car;6,10;;;116,39800467;-56,72259670;3,46;-3,99;10,95;0,397;0,46;;;1;;;F0II;;;
37891;62952;4;;Pup;Pup;5,03;;;116,48698643;-14,56382026;13,80;-11,17;6,28;0,342;0,40;;;1;;;F2V;6990;;
37901;62902;;;;Mon;5,49;;;116,50900614;-06,77228458;13,68;48,91;-93,07;1,378;1,27;;;1;;;K5III;4398;;
37908;62721;81;g;Gem;Gem;4,89;1;;116,53122379;+18,51016877;9,55;-75,55;-51,53;1,425;1,54;;M;1;;;K5III;3929;;
37915;63215;;;;Pup;5,87;2;V392Pup;116,54399474;-37,93370008;5,16;-19,53;12,37;-0,111;-,10;;U;1;;;B5V;13521;;
37921;62832;11;;CMi;CMi;5,25;;;116,56757952;+10,76831128;10,44;-30,87;-24,45;0,018;0,04;;C;1;;;A1Vnn;;;
37934;62140;49;;Cam;Cam;6,50;1;BCCam;116,61442348;+62,83067078;12,32;-36,98;-61,01;0,262;0,29;4,29;P;1;;;F0pSrEu;;;
37939;63291;;;;Pup;6,31;;;116,63937426;-37,77249301;5,46;-50,16;-31,50;1,348;1,43;;C;1;;;K3III;;;
37946;62647;;;;Lyn;5,15;1;;116,66358038;+37,51736326;9,99;30,18;12,70;1,588;2,03;;U;1;;;M3III;;;
37949;62066;51;;Cam;Cam;5,93;;;116,66682971;+65,45563092;9,82;28,15;18,39;1,183;1,14;;;1;;;K2III:;4357;;
37951;63112;;;;Pup;6,39;;;116,68633286;-12,67531262;3,39;-10,32;-0,08;-0,004;0,02;;;1;;;B9III;9864;;
37982;63401;;;;Pup;6,33;1;OXPup;116,77405856;-39,33103329;4,76;-22,17;15,50;-0,142;-,14;2,41;P;1;;;ApSi;13500;;
37995;63271;;;;Pup;5,90;;;116,80232686;-22,51953536;3,30;-7,61;10,34;-0,180;-,19;;C;1;;;B1/B2V;24500;;
37996;63399;;;;Pup;6,46;;;116,81091375;-36,07366604;7,61;-34,73;27,05;1,083;1,05;;;1;;;K1III;;;
38010;63465;;;;Pup;5,07;;;116,85416576;-38,51115599;2,63;-9,94;4,69;-0,112;-,10;;C;1;;;B2IV/V;;;
38016;62898;80;pi,;Gem;Gem;5,14;1;;116,87640290;+33,41576665;5,80;-18,81;-28,63;1,635;1,83;;U;1;;;M0III;;;
38020;63578;;;;Pup;5,22;;;116,88129103;-46,60850937;1,95;-3,57;7,95;-0,151;-,15;;C;1;;;B1V;24187;;
38031;63302;;;;Pup;6,31;2;QYPup;116,91053163;-15,99069738;1,43;-1,61;3,64;1,791;1,82;;U;1;;;K3Iab/b;4500;;
38037;63323;;;;Pup;6,38;1;;116,93838574;-16,01448125;1,36;-7,78;-0,76;1,697;1,72;;U;1;;;K5II/III;;;
38048;63336;5;;Pup;Pup;5,48;;;116,98659214;-12,19289276;33,06;-104,67;77,39;0,478;0,55;;D;2;C;AB;F5+...;6742;;
38070;63462;;omi;Pup;Pup;4,40;1;omiPup;117,02156206;-25,93718054;1,32;-10,22;4,92;-0,070;0,13;;U;1;;;B1IV:nne;28119;;
38074;63640;;;;Pup;6,14;1;TPup;117,03562523;-40,65231342;5,43;-3,35;-26,58;1,591;2,23;;U;1;;;M2III;;;
38087;63926;;;;Car;6,30;;;117,08127238;-56,47109287;1,44;-4,63;7,26;1,010;0,99;;D;2;C;AB;K0III+...;;;
38089;63744;;Q;Pup;Pup;4,69;;;117,08436527;-47,07753199;14,36;-101,31;-78,38;1,039;1,03;;C;1;;;K0III;4815;;
38106;63208;82;;Gem;Gem;6,18;;;117,14019136;+23,14098449;3,10;-10,88;-2,04;0,571;0,64;;D;2;C;AB;G2III+...;5864;;
38146;63660;188;;Pup;Pup;5,32;1;;117,25706910;-24,91224336;10,16;-34,68;14,71;0,751;0,79;;U;1;X;;G2;;;
38147;63352;;;;Gem;6,07;;;117,25755784;+13,37188806;4,94;38,53;-7,86;1,367;1,31;;C;1;;;K0;;;
38152;64067;;;;Car;5,57;;;117,27800960;-56,41038485;3,49;-6,58;10,20;1,116;1,09;;;1;G;;G5II;;;
38159;63949;;;;Pup;5,82;;QSPup;117,30361005;-46,85774089;1,70;-3,32;9,67;-0,142;-,14;;;1;;;B1.5IV;;;
38160;64185;;;;Car;5,78;;;117,30394188;-60,28402896;28,62;-37,41;140,08;0,428;0,50;;;1;G;;F1V;6634;;
38164;63922;;P;Pup;Pup;4,10;;;117,30957923;-46,37322729;1,66;-4,62;9,04;-0,160;-,17;;D;2;C;AC;B0III;30900;;
38167;63786;;;;Pup;5,94;2;V397Pup;117,31105571;-35,24330796;6,82;-6,14;8,88;-0,051;-,03;3,00;P;1;;;B9V;10666;;
38170;63700;7;ksi;Pup;Pup;3,34;1;;117,32357809;-24,85978401;2,42;-5,56;-0,71;1,218;1,08;;U;1;;;G6Ia;4931;Azmidi;Асмидиске
38183;63948;;;;Pup;6,32;;;117,36797937;-44,75122662;9,90;-41,68;28,68;0,962;0,95;;C;1;;;K0III;4960;;
38184;63655;;;;Pup;6,23;;;117,37003744;-13,35292144;1,74;-2,38;-10,94;-0,078;-,06;;;1;;;B8/B9II;;;
38196;63475;;;;CMi;6,42;;;117,38465527;+12,81429540;6,38;-6,84;-18,53;0,984;0,96;;;1;;;K0;;;
38200;63852;;;;Pup;5,61;1;;117,39761883;-33,28895425;4,72;-37,43;1,79;1,617;1,80;;U;1;;;M0III;;;
38206;63696;;;;Pup;6,34;1;;117,41657954;-14,08535729;3,47;-5,81;-0,90;1,660;1,68;;U;1;;;K5III;;;
38209;63734;;;;Pup;6,49;;;117,41999560;-19,50548358;7,82;-59,12;-14,15;1,234;1,19;;;1;;;K2III;;;
38210;64484;;;;Vol;5,78;;;117,42081658;-66,19597303;7,12;-1,81;-0,58;-0,040;-,02;;C;1;;;B9V;10625;;
38211;63697;6;;Pup;Pup;5,17;;;117,42153403;-17,22812300;12,87;54,17;-117,17;1,282;1,17;;;1;;;K3III;4326;;
38246;63822;;;;Pup;6,11;;;117,52364147;-19,52356224;1,74;-7,60;5,81;1,265;1,12;;C;1;;;K1III;;;
38253;63752;;;;Mon;5,60;;;117,54406881;-09,18344160;2,32;0,02;0,10;1,446;1,33;;;1;;;K3III;4075;;
38267;64225;;;;Pup;5,89;;;117,59951934;-50,50936470;12,59;-66,60;-42,50;1,088;1,04;;C;1;;;K2III;;;
38292;64181;;;;Pup;6,45;1;;117,67715212;-44,57997832;5,81;-9,90;13,61;0,899;0,91;;U;1;;;G6III;5018;;
38300;63799;;;;CMi;6,17;;;117,69733913;+03,27732483;8,48;57,66;-29,54;1,106;1,10;;C;1;;;K1III;;;
38303;63798;;;;CMi;6,49;;;117,71294838;+04,45939601;8,43;-15,07;48,39;0,944;0,93;;C;1;;;G5;5004;;
38306;63838;;;;CMi;6,38;;;117,72258006;+00,07954261;7,88;17,04;5,47;1,237;1,20;;;1;;;K2III;;;
38307;63894;;;;Mon;6,16;;;117,73016385;-11,12852084;7,93;-0,88;-33,20;1,128;1,10;;;1;;;K0;4660;;
38316;64042;;;;Pup;6,43;;;117,75034183;-24,52848631;6,46;-2,86;-29,17;-0,003;0,02;;D;2;C;AB;B9.5V;9954;;
38319;63589;;;;Gem;6,06;;;117,75987223;+33,23363630;15,69;-17,78;7,02;0,150;0,13;;C;1;G;;A2m;;;
38325;63332;;;;Lyn;6,03;;;117,77396083;+54,12911093;33,32;-40,30;53,28;0,496;0,57;;;1;;;F6V;6357;;
38349;63588;;;;Lyn;6,49;;;117,81393599;+37,08215389;8,29;-2,06;-28,19;1,510;1,54;;C;1;;;K2;;;
38355;64287;;;;Pup;6,34;;;117,83476239;-43,09524646;2,06;-5,41;5,88;-0,173;-,18;;;1;;;B2IV-V;19499;;
38370;64365;;;;Pup;6,05;1;QUPup;117,91817864;-42,88822205;1,85;-6,44;8,14;-0,181;-,19;;M;1;;;B2IV;;;
38372;64077;8;;Pup;Pup;6,37;;;117,92035359;-12,81939332;13,37;8,25;-4,96;0,384;0,45;;C;1;;;F3IV;6730;;
38373;63975;13;zet;CMi;CMi;5,12;;;117,92498666;+01,76687765;7,76;-13,97;-3,78;-0,116;-,09;;C;1;;;B8II;;;
38375;64152;;;;Pup;5,62;;;117,92939105;-21,17374245;11,90;-45,76;33,27;0,956;0,92;;C;1;;;K0III;4953;;
38382;64096;9;;Pup;Pup;5,16;;;117,94309895;-13,89719057;59,98;-68,46;-344,83;0,600;0,67;;D;2;C;AB;G2V;5848;;
38394;63889;;;;Gem;6,03;;;117,98667865;+19,32517752;7,85;-48,52;-38,20;1,125;1,10;;C;1;;;K1III:;;;
38403;63630;;;;Lyn;6,50;;;118,01622073;+45,93309767;9,60;-32,72;-44,65;0,213;0,24;;C;1;;;A3;;;
38406;64052;;;;CMi;6,30;2;BCCMi;118,02983762;+03,27753363;7,77;49,07;-79,02;1,464;2,70;34,13;P;1;;;M5;;;
38414;64440;;a;Pup;Pup;3,71;;;118,05435622;-40,57579889;9,46;-13,89;5,30;1,012;1,04;;;1;G;;G5III...;4601;;
38423;64379;212;;Pup;Pup;5,01;;;118,06584635;-34,70602121;55,48;-198,24;238,13;0,470;0,56;;D;2;C;AB;F3/F5V;6467;;
38427;64238;10;;Pup;Pup;5,69;;;118,07868058;-14,84617833;2,75;-7,73;1,34;0,368;0,50;;C;1;G;;F2IV/V;6768;;
38438;64722;;;;Car;5,70;1;V372Car;118,12394382;-54,36718432;2,23;-5,44;8,01;-0,151;-,15;0,12;P;1;;;B1.5IV;;;
38449;63586;;;;Lyn;6,36;;;118,15188452;+55,20954589;7,41;-21,76;-42,20;-0,003;0,02;;C;1;;;A0Vn;9750;;
38455;64503;;b;Pup;Pup;4,49;1;QZPup;118,16105542;-38,86282206;5,09;-9,49;4,02;-0,188;-,18;1,11;P;1;;;B2V;;;
38474;64235;;;;Mon;5,76;;;118,19946278;-05,42818693;24,45;-21,36;-28,80;0,412;0,48;;D;2;C;BA;F5IVs;6744;;
38497;64572;;;;Pup;5,44;;;118,26464297;-36,36377387;4,31;-10,82;1,82;1,161;1,03;;C;1;;;K1IIICN...;;;
38500;64740;;;;Pup;4,63;;;118,26517655;-49,61307949;4,53;-8,44;14,65;-0,228;-,24;;C;1;;;B1.5Vp;;;
38518;64760;;J;Pup;Pup;4,22;1;;118,32567862;-48,10294824;1,68;-4,90;5,89;-0,130;-,11;;M;1;;;B0.5Ib;;;
38538;64145;83;phi;Gem;Gem;4,97;;;118,37431874;+26,76585858;12,82;-34,02;-31,17;0,098;0,14;;C;1;O;;A3V;8375;;
38593;64802;;;;Pup;5,48;;;118,54588048;-35,87729557;4,07;-3,88;3,41;-0,175;-,18;;C;1;;;B2V;18563;;
38623;64106;25;;Lyn;Lyn;6,25;;;118,62199178;+47,38597337;5,30;-16,08;3,55;1,133;1,10;;;1;;;K2III:;;;
38635;64876;;;;Pup;6,14;1;;118,66636484;-34,84668366;4,81;-16,00;-11,96;1,540;1,59;;M;1;;;K4III;;;
38639;64144;26;;Lyn;Lyn;5,47;;;118,67807760;+47,56459225;6,42;-48,40;1,48;1,462;1,47;;;1;;;K4III;;;
38656;65273;;;;Car;5,62;;;118,72246913;-57,30288338;9,50;-69,25;31,64;1,298;1,27;;C;1;;;K3/K4III;;;
38667;65189;;;;Car;6,36;;;118,75182427;-52,58335768;3,25;-13,58;11,49;-0,007;0,01;;;1;;;B8III;11662;;
38686;64974;;;;Pup;6,45;;;118,80777774;-30,91771061;2,52;-25,93;27,60;1,474;1,42;;;1;;;K4III;;;
38712;64685;;;;CMi;5,86;;;118,88099024;+08,86305710;26,21;-6,92;-89,51;0,369;0,43;;;1;;;F2IV;6804;;
