HIP;HD;Fl;Bayer;Bayer_cst;Cst;Vmag;VarFlag;VarID;RAdeg;DEdeg;Plx;pmRA;pmDE;B-V;V-I;Period;HvarType;Ncomp;MultFlag;m_HIP;SpType;Teff;Name;Name_r
97611;186837;;;;Pav;6,21;;;297,59063450;-61,06113281;3,63;3,39;5,37;-0,135;-,13;;;1;;;B5V;;;
97630;187849;19;;Cyg;Cyg;5,18;2;V1509Cyg;297,64161019;+38,72216211;5,08;12,65;105,85;1,665;2,07;;U;1;;;M2IIIa;;;
97634;187879;;V380;Cyg;Cyg;5,68;2;V380Cyg;297,65553824;+40,59977800;1,27;-2,19;-7,67;-0,058;-,04;;P;1;;;B1III;22909;;
97635;188056;20;d;Cyg;Cyg;5,03;;;297,65722388;+52,98816657;16,96;-10,28;-67,99;1,286;1,30;;C;1;;;K3IIIvar;4297;;
97646;186957;;;;Pav;5,41;;;297,68657002;-59,19363715;12,55;23,09;-12,21;0,082;0,09;;D;2;C;AB;A0IV;;;
97649;187642;53;alf;Aql;Aql;0,76;1;;297,69450860;+08,86738491;194,44;536,82;385,54;0,221;0,27;7,94;P;1;;;A7IV-V;7651;Altair;Альтаир
97650;187532;51;;Aql;Aql;5,38;;;297,69501255;-10,76358902;37,86;-32,35;31,84;0,402;0,47;;;1;;;F0V;6815;;
97651;187880;;;;Cyg;6,13;2;V2093Cyg;297,69528937;+37,82631382;0,96;4,84;4,40;1,626;2,63;;U;1;;;M3III;;;
97674;186786;;;;Pav;6,04;;NZPav;297,75456049;-65,60470281;16,67;99,70;-158,12;0,317;0,37;;;1;;;F2III-IV;;;
97675;187691;54;omi;Aql;Aql;5,12;;;297,75625098;+10,41605390;51,57;240,09;-134,51;0,563;0,64;;;1;;;F8V;6147;;
97679;187811;12;;Vul;Vul;4,90;2;V395Vul;297,76705681;+22,61008676;5,27;23,35;-16,65;-0,153;-,12;;U;1;;;B2.5V;19953;;
97687;187660;;;;Aql;6,12;;;297,79625917;-02,46088946;5,72;-7,72;-41,26;1,573;1,58;;C;1;;;K5III;;;
97697;187753;;;;Aql;6,25;;;297,82386363;+09,62994013;8,58;7,38;-21,73;0,102;0,12;;D;2;C;AB;A1m;;;
97700;188074;;;;Cyg;6,22;;;297,83069652;+47,37719407;15,14;14,06;17,41;0,398;0,46;;D;2;C;AB;F2V;6890;;
97709;187734;;;;Aql;6,47;;;297,86184303;+04,08864671;-0,37;-5,62;-6,14;1,345;1,31;;D;2;C;AB;K0...;;;
97749;187474;;;;Sgr;5,32;1;V3961Sgr;297,96079231;-39,87433805;9,62;19,12;-12,05;-0,045;-,02;;P;1;;;A0p;12000;;
97757;188209;;;;Cyg;5,60;1;;297,99613200;+47,02734867;0,22;-2,76;-3,99;-0,078;0,00;;U;1;;;O9.5Ia;25260;;
97765;187982;;;;Vul;5,54;1;;298,00664208;+24,99217156;1,83;-0,15;-3,93;0,680;0,88;;U;1;;;A1Iab;9300;;
97767;187923;;;;Aql;6,16;;;298,01518068;+11,62913862;36,15;-345,23;-333,26;0,642;0,71;;C;1;;;G0V;5710;;
97774;188252;;;;Cyg;5,91;;;298,02988134;+47,93181856;1,32;-6,25;-9,81;-0,174;-,18;;;1;;;B2III;;;
97783;187739;57;;Sgr;Sgr;5,88;;;298,05002110;-19,04486185;10,46;-2,46;-53,25;0,979;0,96;;C;1;G;;K0III;4712;;
97789;188149;;;;Cyg;6,13;;;298,06835372;+36,43228438;4,41;12,72;4,41;1,434;1,43;;C;1;;;K4III;4110;;
97796;188001;9;;Sge;Sge;6,24;1;QZSge;298,09068778;+18,67190024;0,23;-0,17;-10,45;-0,031;-,01;;U;1;;;O8e;;;
97804;187929;55;eta;Aql;Aql;3,87;3;etaAql;298,11818257;+01,00567827;2,78;6,94;-7,30;0,630;0,73;7,18;P;1;;;F6IbvSB;5739;;
97816;187420;;;;Tel;5,76;;;298,15709206;-54,97103652;9,21;20,52;4,41;0,915;0,91;;D;1;C;;G8/K0III;;;
97819;187421;;;;Tel;6,50;;;298,16297117;-54,97645289;11,83;6,30;3,72;0,100;0,11;;D;1;C;;A2V;;;
97845;188439;;;;Cyg;6,30;;V819Cyg;298,25521888;+47,80773842;1,08;-7,31;-7,64;-0,126;-,12;;;1;;;B0.5IIIn;;;
97849;187949;;;;Sgr;6,47;3;V505Sgr;298,27660773;-14,60308038;8,58;-0,77;-50,40;0,149;0,16;1,18;P;2;C;BA;A1V;;;
97870;188665;23;;Cyg;Cyg;5,14;1;;298,32237872;+57,52346329;5,11;5,96;7,64;-0,125;-,11;;M;1;;;B5V;;;
97871;188041;;;;Aql;5,63;;V1291Aql;298,32801307;-03,11449682;11,79;21,64;13,62;0,231;0,26;;C;1;;;A5pvar;8000;;
97886;188260;13;;Vul;Vul;4,57;;;298,36533677;+24,07952568;9,08;22,78;36,29;-0,047;-,02;;D;2;C;AB;B9.5III;;;
97892;188793;;;;Cyg;6,06;;;298,39741251;+59,70852496;9,61;42,12;55,57;0,033;0,05;;;1;;;A3V;9290;;
97928;188154;56;;Aql;Aql;5,76;1;;298,53446904;-08,57416489;8,27;7,87;-18,97;1,664;1,67;;M;1;;;K5III;;;
97938;188310;59;ksi;Aql;Aql;4,71;;;298,56175736;+08,46165027;15,96;101,43;-81,28;1,023;1,03;;C;1;;;K0III;4760;Libertas;Либертас
97944;188088;;;;Sgr;6,22;1;V4200Sgr;298,57426614;-23,94007450;70,34;-122,67;-409,86;1,017;1,02;3,25;P;1;;;K3/K4V;4728;;
97961;188485;;;;Vul;5,56;;;298,62942212;+24,31939041;6,90;23,52;-0,79;-0,018;0,00;;;2;C;AB;A0III;9232;;
97966;188293;57;;Aql;Aql;5,70;;;298,65686507;-08,22722614;9,74;8,11;-25,71;-0,079;-,06;;;1;;;B7Vn;13552;;
97967;188294;57;;Aql;Aql;6,49;;;298,65858512;-08,23697430;9,02;4,02;-30,20;-0,040;-,02;;;1;;;B8V;;;
97970;188385;;;;Aql;6,14;;;298,66743028;+07,14035304;12,38;29,12;-0,01;0,043;0,06;;;1;;;A2V;9036;;
97971;187653;;;;Pav;6,21;;;298,66854596;-61,17081500;10,72;-8,12;9,36;0,163;0,18;;C;1;;;A3V;8019;;
97980;188350;58;;Aql;Aql;5,60;;;298,68655124;+00,27365959;9,45;42,37;-13,20;0,098;0,18;;D;1;;;A0III;7946;;
97985;188650;;;;Cyg;5,79;;;298,70101118;+36,99565531;2,12;11,16;8,54;0,773;0,81;;C;1;;;Fp;5508;;
98012;188158;;;;Sgr;6,47;;;298,77129973;-33,04624883;2,59;-12,62;-1,27;1,487;1,51;;;1;;;K2/K3III;;;
